entity_id,aha_id,mpn_id,local_id,aha_service_id,name,address,city,zipcode,county_name,phone_number,ownership,geo_lat,geo_long,website,cha
101152,6430320,140001,869,Acute Care Hospital,Graham Hospital,210 West Walnut Street,Canton,61520,Fulton,3096475240,Voluntary non-profit - Other,40.5534,-90.0383,https://www.grahamhealthsystem.org,https://www.grahamhealthsystem.org/community-resource-guide/community-health-needs-assessment
101153,6430010,140002,26,Acute Care Hospital,Alton Memorial Hospital,One Memorial Drive,Alton,62002,Madison,6184637311,Voluntary non-profit - Private,38.8987,-90.1589,https://www.altonmemorialhospital.org/,https://www.altonmemorialhospital.org/Community-Health-Needs-Assessment
101154,6431990,140007,4838,Acute Care Hospital,Ascension Saint Joseph - Joliet,333 North Madison Street,Joliet,60435,Will,8157257133,Voluntary non-profit - Church,41.5281,-88.1348,https://healthcare.ascension.org/locations/illinois/ilchi/joliet-ascension-saint-joseph,https://healthcare.ascension.org/chna
101155,6432435,140008,5793,Acute Care Hospital,Loyola Gottlieb Memorial Hospital,701 West North Avenue,Melrose Park,60160,Cook,7086813200,Voluntary non-profit - Private,41.9085,-87.8426,https://www.loyolamedicine.org/location/gmh,https://www.loyolamedicine.org/about-us/community-benefit
101156,6430021,140010,646,Acute Care Hospital,Endeavor Evanston Hospital,2650 Ridge Avenue,Evanston,60201,Cook,8475702000,Voluntary non-profit - Other,42.0644,-87.6896,https://www.northshore.org/locations/our-hospitals/evanston-hospital/,https://www.northshore.org/community/community-health-needs-assessment/
101157,6431870,140011,935,Acute Care Hospital,Herrin Hospital,201 S. 14th Street,Herrin,62948,Williamson,6189422171,Voluntary non-profit - Other,37.8027,-89.0267,https://www.sih.net/locations/sih-herrin-hospital,https://www.sih.net/giving-back/community/sih-in-the-community/community-benefit-programs/community-health-needs-assessment
101158,6431460,140012,497,Acute Care Hospital,Katherine Shaw Bethea Hospital,403 East First Street,Dixon,61021,Lee,8152885531,Voluntary non-profit - Other,41.8441,-89.4793,https://www.ksbhospital.com/,https://www.ksbhospital.com/CHNA/
101159,6432615,140013,1925,Acute Care Hospital,Carle Health Proctor Hospital,5409 North Knoxville Avenue,Peoria,61614,Peoria,3096911000,Voluntary non-profit - Private,40.7523,-89.5935,https://carle.org/locations/carle-health-proctor-hospital,https://carle.org/about-us/community-health-needs-assessments
101160,6430017,140015,141,Acute Care Hospital,Blessing Hospital,Broadway at 11th Street,Quincy,62301,Adams,2172231200,Voluntary non-profit - Other,39.9356,-91.3983,https://www.blessinghealth.org/locations/blessing-hospital,https://www.blessinghealth.org/publications
101162,6430930,140018,1644,Acute Care Hospital,Mount Sinai Hospital,California at 15th Street,Chicago,60608,Cook,7735422000,Voluntary non-profit - Private,41.8602,-87.6957,https://www.sinaichicago.org/,https://www.sinaichicago.org/en/about-us/
