measure_id,evidence,measure_type,default_unit,name_friendly,name_official,name_internal,description_friendly,description_long,rationale_friendly,rationale_long
10031,more_is_better,experience,percent,Percent of Patients Highly Satisfied,Hospital inpatients' experiences: adult inpatients' ratings of this hospital.,"How do patients rate the hospital overall? 
Patients who gave a rating of 9 or 10. ","This measure is used to assess adult inpatients' perception of their hospital. Patients rate their hospital on a scale from 0 to 10, where 0 is the worst hospital possible and 10 is the best hospital possible.","This measure is used to assess adult inpatients' perception of their hospital. Patients rate their hospital on a scale from 0 to 10, where 0 is the worst hospital possible and 10 is the best hospital possible. Responses are grouped by rating: percentages are reported for ratings of 10 and 9, 8 and 7, and 0-6.

Note: The percentage of ratings for the group 9 and 10 (or sometimes 8, 9, and 10) is used for consumer-level reporting, higher percentages indicate better quality. Additionally, frequency distributions encompassing all groups of ratings (i.e., 9 and 10, 7 and 8, 6 or lower) are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10034,more_is_better,experience,percent,Doctors Always Communicated Well,Hospital inpatients' experiences: percentage of adult inpatients who reported how often their doctors communicated well.,"How often did doctors communicate well with patients?
Doctors always communicated well",This measure is used to assess the percentage of respondents who reported their doctors always communicated well.,"This measure is used to assess the percentage of respondents who reported their doctors always communicated well. The ""Communication with Doctors"" composite measure is based on three questions on the CAHPS Hospital Survey.

Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make ""apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."
10037,more_is_better,experience,percent,Nurses Always Communicated Well,"Hospital inpatients' experiences: percentage of adult inpatients who reported how often their nurses communicated well.
","How often did nurses communicate well with patients?
Nurses always communicated well",This measure is used to assess the percentage of respondents who reported their nurses always communicated well.,"This measure is used to assess the percentage of respondents who reported their nurses always communicated well. The ""Communication with Nurses"" composite measure is based on three questions on the CAHPS Hospital Survey.

Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10040,more_is_better,experience,percent,Patients Always Received Help As Soon As They Wanted,Hospital inpatients' experiences: percentage of adult inpatients who reported how often the hospital staff was responsive to their needs.,"How often did patients receive help quickly from hospital staff?
Patients always received help as soon as they wanted",This measure is used to assess the percentage of respondents who reported that they always received help as soon as they wanted.,"This measure is used to assess the percentage of respondents who reported that they always received help as soon as they wanted. The ""Responsiveness of Hospital Staff"" composite measure is based on two questions on the CAHPS Hospital Survey.

Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10043,more_is_better,experience,percent,Staff Always Explained About Medicines,Hospital inpatients' experiences: percentage of adult inpatients who reported how often the hospital staff communicated well about medications.,"How often did staff explain about medicines before giving them to patients?
Staff always explained",This measure is used to assess the percentage of respondents who reported that the staff always explained about medicines.,"This measure is used to assess the percentage of respondents who reported that the staff always explained about medicines. The ""Communication about Medications"" composite measure is based on two questions on the CAHPS Hospital Survey.

Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10049,more_is_better,experience,percent,Patient's Room Always Kept Quiet At Night,Hospital inpatients' experiences: percentage of adult inpatients who reported how often their room and bathroom were kept clean and the area around their room was quiet at night.,"How often was the area around patients rooms kept quiet at night?
Always quiet at night",This measure is used to assess the percentage of respondents who reported their room was always kept quiet at night.,"This measure is used to assess the percentage of respondents who reported their room was always kept quiet at night. The ""Cleanliness and Quiet of Hospital Environment"" measures are based on two questions on the CAHPS Hospital Survey.

Note: This measure is calculated in which a higher score indicates better quality and is intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10052,more_is_better,experience,percent,Patient's Room and Bathroom Always Kept Clean,Hospital inpatients' experiences: percentage of adult inpatients who reported how often their room and bathroom were kept clean and the area around their room was quiet at night.,"How often were the patients rooms and bathrooms kept clean?
Room was always clean",This measure is used to assess the percentage of respondents who reported their room and bathroom were always kept clean.,"This measure is used to assess the percentage of respondents who reported their room and bathroom were always kept clean.  The ""Cleanliness and Quiet of Hospital Environment"" measures are based on two questions on the CAHPS Hospital Survey.

Note: This measure is calculated in which a higher score indicates better quality and is intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10056,more_is_better,experience,percent,Patients Given Information About Recovery At Home,Hospital inpatients' experiences: percentage of adult inpatients who reported whether they were provided specific discharge information.,"Were patients given information about what to do during their recovery at home?
Yes, staff did give patients this information","This measure is used to assess the percentage of respondents who reported whether (""Yes"" or ""No"") they were provided specific discharge information.","This measure is used to assess the percentage of respondents who reported whether (""Yes"" or ""No"") they were provided specific discharge information. The ""Discharge Information"" composite measure is based on two questions on the CAHPS Hospital Survey.

Note: A composite score is calculated in which a higher score indicates better quality. Composite scores are intended for consumer-level reporting. Additionally, frequency distributions are available for plans or providers to use for quality improvement purposes.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10058,more_is_better,experience,percent,Patients Would Definitely Recommend This Hospital to Friends and Family,Hospital inpatients' experiences: percentage of adult inpatients who reported whether they would recommend this hospital to their friends and family.,"Would patients recommend the hospital to friends and family?
Yes, patients would definitely recommend the hospital ","This measure is used to assess the percentage of respondents who reported whether (""Definitely No,"" ""Probably No,"" ""Probably Yes,"" or ""Definitely Yes"") they were willing to recommend this hospital to their family and friends.","This measure is used to assess the percentage of respondents who reported whether (""Definitely No,"" ""Probably No,"" ""Probably Yes,"" or ""Definitely Yes"") they were willing to recommend this hospital to their family and friends.","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical.""","The intent of the CAHPS Hospital Survey (also known as Hospital CAHPS or HCAHPS) initiative is to provide a standardized survey instrument and data collection methodology for measuring patients' perspective on hospital care. While many hospitals collect information on patient satisfaction, there is no national standard for collecting or publicly reporting this information that would enable valid comparisons to be made across all hospitals. In order to make apples to apples"" comparisons to support consumer choice, it is necessary to introduce a standard measurement approach.

Three broad goals have shaped the HCAHPS survey. First, the survey is designed to produce comparable data on the patient's perspectives on care that allows objective and meaningful comparison among hospitals on domains that are important to consumers. Second, public reporting of the survey results is designed to create incentives for hospitals to improve their quality of care. Third, public reporting will serve to enhance public accountability in health care by increasing the transparency of the quality of hospital care provided in return for the public investment. With these goals in mind, the HCAHPS project has taken substantial steps to assure that the survey will be credible, useful, and practical."""
10060,less_is_better,outcome,per 1000,Risk-adjusted Mortality Rate: Congestive heart failure,Congestive heart failure (CHF): Risk-adjusted mortality rate.,Risk-adjusted Mortality Rates for Medical Conditions Congestive heart failure,"Mortality indicators for inpatient conditions include conditions for which mortality has been shown to vary substantially across institutions and for which evidence suggests that high mortality may be associated with deficiencies in the quality of care.

This measure is used to assess the number of deaths per 1000 discharges with principal diagnosis code of congestive heart failure (CHF) (IQI 16).","This measure is used to assess the number of deaths per 1000 discharges with principal diagnosis code of congestive heart failure (CHF).

CHF care occurs in an outpatient setting, and selection bias may be a problem for this indicator. In addition, 30-day mortality may be significantly different than in-hospital mortality, leading to information bias. Risk adjustment for clinical factors (or at a minimum 3M™ All-Patient Refined Diagnosis-Related Groups [APR-DRGs]) is recommended (IQI 16).","About 30% of personal health care expenditures in the United States go towards hospital care, and the rate of growth in spending for hospital services has only recently leveled out after several years of increases following a half a decade of declining growth. ","About 30% of personal health care expenditures in the United States go towards hospital care, and the rate of growth in spending for hospital services has only recently leveled out after several years of increases following a half a decade of declining growth. Simultaneously, concerns about the quality of health care services have reached a crescendo with the Institute of Medicine's series of reports describing the problem of medical errors and the need for a complete restructuring of the health care system to improve the quality of care. Policymakers, employers, and consumers have made the quality of care in U.S. hospitals a top priority and have voiced the need to assess, monitor, track, and improve the quality of inpatient care.

Congestive heart failure (CHF) is a progressive, chronic disease with substantial short-term mortality, which varies from provider to provider. Better processes of care may reduce short-term mortality, which represents better quality.

Note:

The following caveats were identified from the literature review for the ""Congestive Heart Failure Mortality Rate"" indicator:

    * Selection biasb: This results when a substantial percentage of care for a condition is provided in the outpatient setting, so the subset of inpatient cases may be unrepresentative. Examination of outpatient care or emergency care data may help to reduce this in these cases.
    * Information biasb: This indicator is based on information available in hospital discharge data sets, but some missing information may actually be important to evaluating the outcomes of hospital care. Examination of missing information may help to improve indicator performance in these cases.
    * Confounding biasb: Patient characteristics may substantially affect the performance of the indicator, risk adjustment is recommended.

Refer to the original measure documentation for further details.

b - Indicates that the concern has been demonstrated in the literature."
